code,title,category,window,chapter
R00,Abnormalities of heart beat,Abnormalities of heart beat,Symptoms and signs involving the circulatory and respiratory systems,XVIII
R00.0,"Tachycardia, unspecified",Abnormalities of heart beat,Symptoms and signs involving the circulatory and respiratory systems,XVIII
R00.1,"Bradycardia, unspecified",Abnormalities of heart beat,Symptoms and signs involving the circulatory and respiratory systems,XVIII
R00.2,Palpitations,Abnormalities of heart beat,Symptoms and signs involving the circulatory and respiratory systems,XVIII
R00.8,Other and unspecified abnormalities of heart beat,Abnormalities of heart beat,Symptoms and signs involving the circulatory and respiratory systems,XVIII
R01,Cardiac murmurs and other cardiac sounds,Cardiac murmurs and other cardiac sounds,Symptoms and signs involving the circulatory and respiratory systems,XVIII
R01.0,Benign and innocent cardiac murmurs,Cardiac murmurs and other cardiac sounds,Symptoms and signs involving the circulatory and respiratory systems,XVIII
R01.1,"Cardiac murmur, unspecified",Cardiac murmurs and other cardiac sounds,Symptoms and signs involving the circulatory and respiratory systems,XVIII
R01.2,Other cardiac sounds,Cardiac murmurs and other cardiac sounds,Symptoms and signs involving the circulatory and respiratory systems,XVIII
R02,"Gangrene, not elsewhere classified","Gangrene, not elsewhere classified",Symptoms and signs involving the circulatory and respiratory systems,XVIII
R03,"Abnormal blood-pressure reading, without diagnosis","Abnormal blood-pressure reading, without diagnosis",Symptoms and signs involving the circulatory and respiratory systems,XVIII
R03.0,"Elevated blood-pressure reading, without diagnosis of hypertension","Abnormal blood-pressure reading, without diagnosis",Symptoms and signs involving the circulatory and respiratory systems,XVIII
R03.1,Nonspecific low blood-pressure reading,"Abnormal blood-pressure reading, without diagnosis",Symptoms and signs involving the circulatory and respiratory systems,XVIII
R04,Haemorrhage from respiratory passages,Haemorrhage from respiratory passages,Symptoms and signs involving the circulatory and respiratory systems,XVIII
R04.0,Epistaxis,Haemorrhage from respiratory passages,Symptoms and signs involving the circulatory and respiratory systems,XVIII
R04.1,Haemorrhage from throat,Haemorrhage from respiratory passages,Symptoms and signs involving the circulatory and respiratory systems,XVIII
R04.2,Haemoptysis,Haemorrhage from respiratory passages,Symptoms and signs involving the circulatory and respiratory systems,XVIII
R04.8,Haemorrhage from other sites in respiratory passages,Haemorrhage from respiratory passages,Symptoms and signs involving the circulatory and respiratory systems,XVIII
R04.9,"Haemorrhage from respiratory passages, unspecified",Haemorrhage from respiratory passages,Symptoms and signs involving the circulatory and respiratory systems,XVIII
R05,Cough,Cough,Symptoms and signs involving the circulatory and respiratory systems,XVIII
R06,Abnormalities of breathing,Abnormalities of breathing,Symptoms and signs involving the circulatory and respiratory systems,XVIII
R06.0,Dyspnoea,Abnormalities of breathing,Symptoms and signs involving the circulatory and respiratory systems,XVIII
R06.1,Stridor,Abnormalities of breathing,Symptoms and signs involving the circulatory and respiratory systems,XVIII
R06.2,Wheezing,Abnormalities of breathing,Symptoms and signs involving the circulatory and respiratory systems,XVIII
R06.3,Periodic breathing,Abnormalities of breathing,Symptoms and signs involving the circulatory and respiratory systems,XVIII
R06.4,Hyperventilation,Abnormalities of breathing,Symptoms and signs involving the circulatory and respiratory systems,XVIII
R06.5,Mouth breathing,Abnormalities of breathing,Symptoms and signs involving the circulatory and respiratory systems,XVIII
R06.6,Hiccough,Abnormalities of breathing,Symptoms and signs involving the circulatory and respiratory systems,XVIII
R06.7,Sneezing,Abnormalities of breathing,Symptoms and signs involving the circulatory and respiratory systems,XVIII
R06.8,Other and unspecified abnormalities of breathing,Abnormalities of breathing,Symptoms and signs involving the circulatory and respiratory systems,XVIII
R07,Pain in throat and chest,Pain in throat and chest,Symptoms and signs involving the circulatory and respiratory systems,XVIII
R07.0,Pain in throat,Pain in throat and chest,Symptoms and signs involving the circulatory and respiratory systems,XVIII
R07.1,Chest pain on breathing,Pain in throat and chest,Symptoms and signs involving the circulatory and respiratory systems,XVIII
R07.2,Precordial pain,Pain in throat and chest,Symptoms and signs involving the circulatory and respiratory systems,XVIII
R07.3,Other chest pain,Pain in throat and chest,Symptoms and signs involving the circulatory and respiratory systems,XVIII
R07.4,"Chest pain, unspecified",Pain in throat and chest,Symptoms and signs involving the circulatory and respiratory systems,XVIII
R09,Other symptoms and signs involving the circulatory and respiratory systems,Other symptoms and signs involving the circulatory and respiratory systems,Symptoms and signs involving the circulatory and respiratory systems,XVIII
R09.0,Asphyxia,Other symptoms and signs involving the circulatory and respiratory systems,Symptoms and signs involving the circulatory and respiratory systems,XVIII
R09.1,Pleurisy,Other symptoms and signs involving the circulatory and respiratory systems,Symptoms and signs involving the circulatory and respiratory systems,XVIII
R09.2,Respiratory arrest,Other symptoms and signs involving the circulatory and respiratory systems,Symptoms and signs involving the circulatory and respiratory systems,XVIII
R09.3,Abnormal sputum,Other symptoms and signs involving the circulatory and respiratory systems,Symptoms and signs involving the circulatory and respiratory systems,XVIII
R09.8,Other specified symptoms and signs involving the circulatory and respiratory systems,Other symptoms and signs involving the circulatory and respiratory systems,Symptoms and signs involving the circulatory and respiratory systems,XVIII
R10,Abdominal and pelvic pain,Abdominal and pelvic pain,Symptoms and signs involving the digestive system and abdomen,XVIII
R10.0,Acute abdomen,Abdominal and pelvic pain,Symptoms and signs involving the digestive system and abdomen,XVIII
R10.1,Pain localized to upper abdomen,Abdominal and pelvic pain,Symptoms and signs involving the digestive system and abdomen,XVIII
R10.2,Pelvic and perineal pain,Abdominal and pelvic pain,Symptoms and signs involving the digestive system and abdomen,XVIII
R10.3,Pain localized to other parts of lower abdomen,Abdominal and pelvic pain,Symptoms and signs involving the digestive system and abdomen,XVIII
R10.4,Other and unspecified abdominal pain,Abdominal and pelvic pain,Symptoms and signs involving the digestive system and abdomen,XVIII
R11,Nausea and vomiting,Nausea and vomiting,Symptoms and signs involving the digestive system and abdomen,XVIII
R12,Heartburn,Heartburn,Symptoms and signs involving the digestive system and abdomen,XVIII
R13,Dysphagia,Dysphagia,Symptoms and signs involving the digestive system and abdomen,XVIII
R14,Flatulence and related conditions,Flatulence and related conditions,Symptoms and signs involving the digestive system and abdomen,XVIII
R15,Faecal incontinence,Faecal incontinence,Symptoms and signs involving the digestive system and abdomen,XVIII
R16,"Hepatomegaly and splenomegaly, not elsewhere classified","Hepatomegaly and splenomegaly, not elsewhere classified",Symptoms and signs involving the digestive system and abdomen,XVIII
R16.0,"Hepatomegaly, not elsewhere classified","Hepatomegaly and splenomegaly, not elsewhere classified",Symptoms and signs involving the digestive system and abdomen,XVIII
R16.1,"Splenomegaly, not elsewhere classified","Hepatomegaly and splenomegaly, not elsewhere classified",Symptoms and signs involving the digestive system and abdomen,XVIII
R16.2,"Hepatomegaly with splenomegaly, not elsewhere classified","Hepatomegaly and splenomegaly, not elsewhere classified",Symptoms and signs involving the digestive system and abdomen,XVIII
R17,Unspecified jaundice,Unspecified jaundice,Symptoms and signs involving the digestive system and abdomen,XVIII
R18,Ascites,Ascites,Symptoms and signs involving the digestive system and abdomen,XVIII
R19,Other symptoms and signs involving the digestive system and abdomen,Other symptoms and signs involving the digestive system and abdomen,Symptoms and signs involving the digestive system and abdomen,XVIII
R19.0,"Intra-abdominal and pelvic swelling, mass and lump",Other symptoms and signs involving the digestive system and abdomen,Symptoms and signs involving the digestive system and abdomen,XVIII
R19.1,Abnormal bowel sounds,Other symptoms and signs involving the digestive system and abdomen,Symptoms and signs involving the digestive system and abdomen,XVIII
R19.2,Visible peristalsis,Other symptoms and signs involving the digestive system and abdomen,Symptoms and signs involving the digestive system and abdomen,XVIII
R19.3,Abdominal rigidity,Other symptoms and signs involving the digestive system and abdomen,Symptoms and signs involving the digestive system and abdomen,XVIII
R19.4,Change in bowel habit,Other symptoms and signs involving the digestive system and abdomen,Symptoms and signs involving the digestive system and abdomen,XVIII
R19.5,Other faecal abnormalities,Other symptoms and signs involving the digestive system and abdomen,Symptoms and signs involving the digestive system and abdomen,XVIII
R19.6,Halitosis,Other symptoms and signs involving the digestive system and abdomen,Symptoms and signs involving the digestive system and abdomen,XVIII
R19.8,Other specified symptoms and signs involving the digestive system and abdomen,Other symptoms and signs involving the digestive system and abdomen,Symptoms and signs involving the digestive system and abdomen,XVIII
R20,Disturbances of skin sensation,Disturbances of skin sensation,Symptoms and signs involving the skin and subcutaneous tissue,XVIII
R20.0,Anaesthesia of skin,Disturbances of skin sensation,Symptoms and signs involving the skin and subcutaneous tissue,XVIII
R20.1,Hypoaesthesia of skin,Disturbances of skin sensation,Symptoms and signs involving the skin and subcutaneous tissue,XVIII
R20.2,Paraesthesia of skin,Disturbances of skin sensation,Symptoms and signs involving the skin and subcutaneous tissue,XVIII
R20.3,Hyperaesthesia,Disturbances of skin sensation,Symptoms and signs involving the skin and subcutaneous tissue,XVIII
R20.8,Other and unspecified disturbances of skin sensation,Disturbances of skin sensation,Symptoms and signs involving the skin and subcutaneous tissue,XVIII
R21,Rash and other nonspecific skin eruption,Rash and other nonspecific skin eruption,Symptoms and signs involving the skin and subcutaneous tissue,XVIII
R22,"Localized swelling, mass and lump of skin and subcutaneous tissue","Localized swelling, mass and lump of skin and subcutaneous tissue",Symptoms and signs involving the skin and subcutaneous tissue,XVIII
R22.0,"Localized swelling, mass and lump, head","Localized swelling, mass and lump of skin and subcutaneous tissue",Symptoms and signs involving the skin and subcutaneous tissue,XVIII
R22.1,"Localized swelling, mass and lump, neck","Localized swelling, mass and lump of skin and subcutaneous tissue",Symptoms and signs involving the skin and subcutaneous tissue,XVIII
R22.2,"Localized swelling, mass and lump, trunk","Localized swelling, mass and lump of skin and subcutaneous tissue",Symptoms and signs involving the skin and subcutaneous tissue,XVIII
R22.3,"Localized swelling, mass and lump, upper limb","Localized swelling, mass and lump of skin and subcutaneous tissue",Symptoms and signs involving the skin and subcutaneous tissue,XVIII
R22.4,"Localized swelling, mass and lump, lower limb","Localized swelling, mass and lump of skin and subcutaneous tissue",Symptoms and signs involving the skin and subcutaneous tissue,XVIII
R22.7,"Localized swelling, mass and lump, multiple sites","Localized swelling, mass and lump of skin and subcutaneous tissue",Symptoms and signs involving the skin and subcutaneous tissue,XVIII
R22.9,"Localized swelling, mass and lump, unspecified","Localized swelling, mass and lump of skin and subcutaneous tissue",Symptoms and signs involving the skin and subcutaneous tissue,XVIII
R23,Other skin changes,Other skin changes,Symptoms and signs involving the skin and subcutaneous tissue,XVIII
R23.0,Cyanosis,Other skin changes,Symptoms and signs involving the skin and subcutaneous tissue,XVIII
R23.1,Pallor,Other skin changes,Symptoms and signs involving the skin and subcutaneous tissue,XVIII
R23.2,Flushing,Other skin changes,Symptoms and signs involving the skin and subcutaneous tissue,XVIII
R23.3,Spontaneous ecchymoses,Other skin changes,Symptoms and signs involving the skin and subcutaneous tissue,XVIII
R23.4,Changes in skin texture,Other skin changes,Symptoms and signs involving the skin and subcutaneous tissue,XVIII
R23.8,Other and unspecified skin changes,Other skin changes,Symptoms and signs involving the skin and subcutaneous tissue,XVIII
R25,Abnormal involuntary movements,Abnormal involuntary movements,Symptoms and signs involving the nervous and musculoskeletal systems,XVIII
R25.0,Abnormal head movements,Abnormal involuntary movements,Symptoms and signs involving the nervous and musculoskeletal systems,XVIII
R25.1,"Tremor, unspecified",Abnormal involuntary movements,Symptoms and signs involving the nervous and musculoskeletal systems,XVIII
R25.2,Cramp and spasm,Abnormal involuntary movements,Symptoms and signs involving the nervous and musculoskeletal systems,XVIII
R25.3,Fasciculation,Abnormal involuntary movements,Symptoms and signs involving the nervous and musculoskeletal systems,XVIII
R25.8,Other and unspecified abnormal involuntary movements,Abnormal involuntary movements,Symptoms and signs involving the nervous and musculoskeletal systems,XVIII
R26,Abnormalities of gait and mobility,Abnormalities of gait and mobility,Symptoms and signs involving the nervous and musculoskeletal systems,XVIII
R26.0,Ataxic gait,Abnormalities of gait and mobility,Symptoms and signs involving the nervous and musculoskeletal systems,XVIII
R26.1,Paralytic gait,Abnormalities of gait and mobility,Symptoms and signs involving the nervous and musculoskeletal systems,XVIII
R26.2,"Difficulty in walking, not elsewhere classified",Abnormalities of gait and mobility,Symptoms and signs involving the nervous and musculoskeletal systems,XVIII
R26.3,Immobility,Abnormalities of gait and mobility,Symptoms and signs involving the nervous and musculoskeletal systems,XVIII
R26.8,Other and unspecified abnormalities of gait and mobility,Abnormalities of gait and mobility,Symptoms and signs involving the nervous and musculoskeletal systems,XVIII
R27,Other lack of coordination,Other lack of coordination,Symptoms and signs involving the nervous and musculoskeletal systems,XVIII
R27.0,"Ataxia, unspecified",Other lack of coordination,Symptoms and signs involving the nervous and musculoskeletal systems,XVIII
R27.8,Other and unspecified lack of coordination,Other lack of coordination,Symptoms and signs involving the nervous and musculoskeletal systems,XVIII
R29,Other symptoms and signs involving the nervous and musculoskeletal systems,Other symptoms and signs involving the nervous and musculoskeletal systems,Symptoms and signs involving the nervous and musculoskeletal systems,XVIII
R29.0,Tetany,Other symptoms and signs involving the nervous and musculoskeletal systems,Symptoms and signs involving the nervous and musculoskeletal systems,XVIII
R29.1,Meningismus,Other symptoms and signs involving the nervous and musculoskeletal systems,Symptoms and signs involving the nervous and musculoskeletal systems,XVIII
R29.2,Abnormal reflex,Other symptoms and signs involving the nervous and musculoskeletal systems,Symptoms and signs involving the nervous and musculoskeletal systems,XVIII
R29.3,Abnormal posture,Other symptoms and signs involving the nervous and musculoskeletal systems,Symptoms and signs involving the nervous and musculoskeletal systems,XVIII
R29.4,Clicking hip,Other symptoms and signs involving the nervous and musculoskeletal systems,Symptoms and signs involving the nervous and musculoskeletal systems,XVIII
R29.6,"Tendency to fall, not elsewhere classified",Other symptoms and signs involving the nervous and musculoskeletal systems,Symptoms and signs involving the nervous and musculoskeletal systems,XVIII
R29.8,Other and unspecified symptoms and signs involving the nervous and musculoskeletal systems,Other symptoms and signs involving the nervous and musculoskeletal systems,Symptoms and signs involving the nervous and musculoskeletal systems,XVIII
R30,Pain associated with micturition,Pain associated with micturition,Symptoms and signs involving the urinary system,XVIII
R30.0,Dysuria,Pain associated with micturition,Symptoms and signs involving the urinary system,XVIII
