,code,desc,rule
0,A33,Tetanus neonatorum,newborn
1,E84.11,Meconium ileus in cystic fibrosis,newborn
2,H04.531,Neonatal obstruction of right nasolacrimal duct,newborn
3,H04.532,Neonatal obstruction of left nasolacrimal duct,newborn
4,H04.533,Neonatal obstruction of bilateral nasolacrimal duct,newborn
5,H04.539,Neonatal obstruction of unspecified nasolacrimal duct,newborn
6,N47.0,"Adherent prepuce, newborn",newborn
7,Z00.110,Health examination for newborn under 8 days old,newborn
8,Z00.111,Health examination for newborn 8 to 28 days old,newborn
9,Z05.0,Observation and evaluation of newborn for suspected cardiac condition ruled out,newborn
10,Z05.1,Observation and evaluation of newborn for suspected infectious condition ruled out,newborn
11,Z05.2,Observation and evaluation of newborn for suspected neurological condition ruled out,newborn
12,Z05.3,Observation and evaluation of newborn for suspected respiratory condition ruled out,newborn
13,Z05.41,Observation and evaluation of newborn for suspected genetic condition ruled out,newborn
14,Z05.42,Observation and evaluation of newborn for suspected metabolic condition ruled out,newborn
15,Z05.43,Observation and evaluation of newborn for suspected immunologic condition ruled out,newborn
16,Z05.5,Observation and evaluation of newborn for suspected gastrointestinal condition ruled out,newborn
17,Z05.6,Observation and evaluation of newborn for suspected genitourinary condition ruled out,newborn
18,Z05.71,Observation and evaluation of newborn for suspected skin and subcutaneous tissue condition ruled out,newborn
19,Z05.72,Observation and evaluation of newborn for suspected musculoskeletal condition ruled out,newborn
20,Z05.73,Observation and evaluation of newborn for suspected connective tissue condition ruled out,newborn
21,Z05.8,Observation and evaluation of newborn for other specified suspected condition ruled out,newborn
22,Z05.9,Observation and evaluation of newborn for unspecified suspected condition ruled out,newborn
23,Z38.00,"Single liveborn infant, delivered vaginally",newborn
24,Z38.01,"Single liveborn infant, delivered by cesarean",newborn
25,Z38.1,"Single liveborn infant, born outside hospital",newborn
26,Z38.2,"Single liveborn infant, unspecified as to place of birth",newborn
27,Z38.30,"Twin liveborn infant, delivered vaginally",newborn
28,Z38.31,"Twin liveborn infant, delivered by cesarean",newborn
29,Z38.4,"Twin liveborn infant, born outside hospital",newborn
30,Z38.5,"Twin liveborn infant, unspecified as to place of birth",newborn
31,Z38.61,"Triplet liveborn infant, delivered vaginally",newborn
32,Z38.62,"Triplet liveborn infant, delivered by cesarean",newborn
33,Z38.63,"Quadruplet liveborn infant, delivered vaginally",newborn
34,Z38.64,"Quadruplet liveborn infant, delivered by cesarean",newborn
35,Z38.65,"Quintuplet liveborn infant, delivered vaginally",newborn
36,Z38.66,"Quintuplet liveborn infant, delivered by cesarean",newborn
37,Z38.68,"Other multiple liveborn infant, delivered vaginally",newborn
38,Z38.69,"Other multiple liveborn infant, delivered by cesarean",newborn
39,Z38.7,"Other multiple liveborn infant, born outside hospital",newborn
40,Z38.8,"Other multiple liveborn infant, unspecified as to place of birth",newborn
0,A48.51,Infant botulism,pediatric
1,B08.20,"Exanthema subitum [sixth disease], unspecified",pediatric
2,B08.21,Exanthema subitum [sixth disease] due to human herpesvirus 6,pediatric
3,B08.22,Exanthema subitum [sixth disease] due to human herpesvirus 7,pediatric
4,C93.30,"Juvenile myelomonocytic leukemia, not having achieved remission",pediatric
5,C93.31,"Juvenile myelomonocytic leukemia, in remission",pediatric
6,C93.32,"Juvenile myelomonocytic leukemia, in relapse",pediatric
7,E30.1,Precocious puberty,pediatric
8,E30.8,Other disorders of puberty,pediatric
9,F64.2,Gender identity disorder of childhood,pediatric
10,F84.3,Other childhood disintegrative disorder,pediatric
11,G93.7,Reye's syndrome,pediatric
12,H26.001,"Unspecified infantile and juvenile cataract, right eye",pediatric
13,H26.002,"Unspecified infantile and juvenile cataract, left eye",pediatric
14,H26.003,"Unspecified infantile and juvenile cataract, bilateral",pediatric
15,H26.009,"Unspecified infantile and juvenile cataract, unspecified eye",pediatric
16,H26.011,"Infantile and juvenile cortical, lamellar, or zonular cataract, right eye",pediatric
17,H26.012,"Infantile and juvenile cortical, lamellar, or zonular cataract, left eye",pediatric
18,H26.013,"Infantile and juvenile cortical, lamellar, or zonular cataract, bilateral",pediatric
19,H26.019,"Infantile and juvenile cortical, lamellar, or zonular cataract, unspecified eye",pediatric
20,H26.031,"Infantile and juvenile nuclear cataract, right eye",pediatric
21,H26.032,"Infantile and juvenile nuclear cataract, left eye",pediatric
22,H26.033,"Infantile and juvenile nuclear cataract, bilateral",pediatric
23,H26.039,"Infantile and juvenile nuclear cataract, unspecified eye",pediatric
24,H26.041,"Anterior subcapsular polar infantile and juvenile cataract, right eye",pediatric
25,H26.042,"Anterior subcapsular polar infantile and juvenile cataract, left eye",pediatric
26,H26.043,"Anterior subcapsular polar infantile and juvenile cataract, bilateral",pediatric
27,H26.049,"Anterior subcapsular polar infantile and juvenile cataract, unspecified eye",pediatric
28,H26.051,"Posterior subcapsular polar infantile and juvenile cataract, right eye",pediatric
29,H26.052,"Posterior subcapsular polar infantile and juvenile cataract, left eye",pediatric
30,H26.053,"Posterior subcapsular polar infantile and juvenile cataract, bilateral",pediatric
31,H26.059,"Posterior subcapsular polar infantile and juvenile cataract, unspecified eye",pediatric
