code,desc,remark,window
00,"Procedures And Interventions, Not Elsewhere Classified",A child code below 00 with greater detail should be used.,"00-00 Procedures And Interventions , Not Elsewhere Classified"
00.0,Therapeutic Ultrasound,A child code below 00.0 with greater detail should be used.,"00-00 Procedures And Interventions , Not Elsewhere Classified"
00.01,Therapeutic Ultrasound Of Vessels Of Head And Neck,00.01 is a specific code and is valid to identify a procedure.,"00-00 Procedures And Interventions , Not Elsewhere Classified"
00.02,Therapeutic Ultrasound Of Heart,00.02 is a specific code and is valid to identify a procedure.,"00-00 Procedures And Interventions , Not Elsewhere Classified"
00.03,Therapeutic Ultrasound Of Peripheral Vascular Vessels,00.03 is a specific code and is valid to identify a procedure.,"00-00 Procedures And Interventions , Not Elsewhere Classified"
00.09,Other Therapeutic Ultrasound,00.09 is a specific code and is valid to identify a procedure.,"00-00 Procedures And Interventions , Not Elsewhere Classified"
00.1,Pharmaceuticals,A child code below 00.1 with greater detail should be used.,"00-00 Procedures And Interventions , Not Elsewhere Classified"
00.10,Implantation Of Chemotherapeutic Agent,00.10 is a specific code and is valid to identify a procedure.,"00-00 Procedures And Interventions , Not Elsewhere Classified"
00.11,Infusion Of Drotrecogin Alfa (Activated),00.11 is a specific code and is valid to identify a procedure.,"00-00 Procedures And Interventions , Not Elsewhere Classified"
00.12,Administration Of Inhaled Nitric Oxide,00.12 is a specific code and is valid to identify a procedure.,"00-00 Procedures And Interventions , Not Elsewhere Classified"
00.13,Injection Or Infusion Of Nesiritide,00.13 is a specific code and is valid to identify a procedure.,"00-00 Procedures And Interventions , Not Elsewhere Classified"
00.14,Injection Or Infusion Of Oxazolidinone Class Of Antibiotics,00.14 is a specific code and is valid to identify a procedure.,"00-00 Procedures And Interventions , Not Elsewhere Classified"
00.15,High-Dose Infusion Interleukin-2 [Il-2],00.15 is a specific code and is valid to identify a procedure.,"00-00 Procedures And Interventions , Not Elsewhere Classified"
00.16,Pressurized Treatment Of Venous Bypass Graft [Conduit] With Pharmaceutical Substance,00.16 is a specific code and is valid to identify a procedure.,"00-00 Procedures And Interventions , Not Elsewhere Classified"
00.17,Infusion Of Vasopressor Agent,00.17 is a specific code and is valid to identify a procedure.,"00-00 Procedures And Interventions , Not Elsewhere Classified"
00.18,Infusion Of Immunosuppressive Antibody Therapy,00.18 is a specific code and is valid to identify a procedure.,"00-00 Procedures And Interventions , Not Elsewhere Classified"
00.19,Disruption Of Blood Brain Barrier Via Infusion [Bbbd],00.19 is a specific code and is valid to identify a procedure.,"00-00 Procedures And Interventions , Not Elsewhere Classified"
00.2,Intravascular Imaging Of Blood Vessels,A child code below 00.2 with greater detail should be used.,"00-00 Procedures And Interventions , Not Elsewhere Classified"
00.21,Intravascular Imaging Of Extracranial Cerebral Vessels,00.21 is a specific code and is valid to identify a procedure.,"00-00 Procedures And Interventions , Not Elsewhere Classified"
00.22,Intravascular Imaging Of Intrathoracic Vessels,00.22 is a specific code and is valid to identify a procedure.,"00-00 Procedures And Interventions , Not Elsewhere Classified"
00.23,Intravascular Imaging Of Peripheral Vessels,00.23 is a specific code and is valid to identify a procedure.,"00-00 Procedures And Interventions , Not Elsewhere Classified"
00.24,Intravascular Imaging Of Coronary Vessels,00.24 is a specific code and is valid to identify a procedure.,"00-00 Procedures And Interventions , Not Elsewhere Classified"
00.25,Intravascular Imaging Of Renal Vessels,00.25 is a specific code and is valid to identify a procedure.,"00-00 Procedures And Interventions , Not Elsewhere Classified"
00.28,"Intravascular Imaging, Other Specified Vessel(s)",00.28 is a specific code and is valid to identify a procedure.,"00-00 Procedures And Interventions , Not Elsewhere Classified"
00.29,"Intravascular Imaging, Unspecified Vessel(s)",00.29 is a specific code and is valid to identify a procedure.,"00-00 Procedures And Interventions , Not Elsewhere Classified"
00.3,Computer Assisted Surgery (Cas),A child code below 00.3 with greater detail should be used.,"00-00 Procedures And Interventions , Not Elsewhere Classified"
00.31,Computer Assisted Surgery With Ct/Cta,00.31 is a specific code and is valid to identify a procedure.,"00-00 Procedures And Interventions , Not Elsewhere Classified"
00.32,Computer Assisted Surgery With Mr/Mra,00.32 is a specific code and is valid to identify a procedure.,"00-00 Procedures And Interventions , Not Elsewhere Classified"
00.33,Computer Assisted Surgery With Fluoroscopy,00.33 is a specific code and is valid to identify a procedure.,"00-00 Procedures And Interventions , Not Elsewhere Classified"
00.34,Imageless Computer Assisted Surgery,00.34 is a specific code and is valid to identify a procedure.,"00-00 Procedures And Interventions , Not Elsewhere Classified"
00.35,Computer Assisted Surgery With Multiple Datasets,00.35 is a specific code and is valid to identify a procedure.,"00-00 Procedures And Interventions , Not Elsewhere Classified"
00.39,Other Computer Assisted Surgery,00.39 is a specific code and is valid to identify a procedure.,"00-00 Procedures And Interventions , Not Elsewhere Classified"
00.4,Adjunct Vascular System Procedures,A child code below 00.4 with greater detail should be used.,"00-00 Procedures And Interventions , Not Elsewhere Classified"
00.40,Procedure On Single Vessel,00.40 is a specific code and is valid to identify a procedure.,"00-00 Procedures And Interventions , Not Elsewhere Classified"
00.41,Procedure On Two Vessels,00.41 is a specific code and is valid to identify a procedure.,"00-00 Procedures And Interventions , Not Elsewhere Classified"
00.42,Procedure On Three Vessels,00.42 is a specific code and is valid to identify a procedure.,"00-00 Procedures And Interventions , Not Elsewhere Classified"
00.43,Procedure On Four Or More Vessels,00.43 is a specific code and is valid to identify a procedure.,"00-00 Procedures And Interventions , Not Elsewhere Classified"
00.44,Procedure On Vessel Bifurcation,00.44 is a specific code and is valid to identify a procedure.,"00-00 Procedures And Interventions , Not Elsewhere Classified"
00.45,Insertion Of One Vascular Stent,00.45 is a specific code and is valid to identify a procedure.,"00-00 Procedures And Interventions , Not Elsewhere Classified"
00.46,Insertion Of Two Vascular Stents,00.46 is a specific code and is valid to identify a procedure.,"00-00 Procedures And Interventions , Not Elsewhere Classified"
